Süre (Sn)	Basýnç (Torr)	Basýnç (Torr)	Basýnç (Torr)
		K-KBÖ		K-BBÖ		AH-PBÖ
2210		1,8E-5		1,6E-1		1,7E-1
2215		1,7E-5		1,6E-1		1,7E-1
2220		1,6E-5		1,6E-1		1,7E-1
2225		1,5E-5		1,6E-1		1,7E-1
2230		1,4E-5		1,6E-1		1,7E-1
2235		1,4E-5		1,6E-1		1,7E-1
2240		1,3E-5		1,6E-1		1,7E-1
2245		1,3E-5		1,6E-1		1,7E-1
2250		1,3E-5		1,6E-1		1,7E-1
2255		1,2E-5		1,6E-1		1,7E-1
2260		1,2E-5		1,6E-1		1,7E-1
2265		1,2E-5		1,6E-1		1,7E-1
2270		1,2E-5		1,6E-1		1,7E-1
2275		1,1E-5		1,6E-1		1,7E-1
2280		1,1E-5		1,6E-1		1,7E-1
2285		1,1E-5		1,6E-1		1,7E-1
2290		1,1E-5		1,6E-1		1,7E-1
2295		1,1E-5		1,6E-1		1,7E-1
2300		1,1E-5		1,6E-1		1,7E-1
2305		1,0E-5		1,6E-1		1,7E-1
2310		1,0E-5		1,6E-1		1,7E-1
2315		1,0E-5		1,6E-1		1,7E-1
2320		1,0E-5		1,6E-1		1,7E-1
2325		9,7E-6		1,6E-1		1,7E-1
2330		9,5E-6		1,6E-1		1,7E-1
2335		9,4E-6		1,6E-1		1,7E-1
2340		9,3E-6		1,6E-1		1,7E-1
2345		9,2E-6		1,6E-1		1,7E-1
2350		9,1E-6		1,6E-1		1,7E-1
2355		8,9E-6		1,6E-1		1,7E-1
2360		8,7E-6		1,6E-1		1,7E-1
2365		8,6E-6		1,6E-1		1,7E-1
2370		8,4E-6		1,6E-1		1,7E-1
2375		8,1E-6		1,6E-1		1,7E-1
2380		7,6E-6		1,6E-1		1,7E-1
2385		7,3E-6		1,6E-1		1,7E-1
2390		7,0E-6		1,6E-1		1,7E-1
2395		6,7E-6		1,6E-1		1,7E-1
2400		6,3E-6		1,6E-1		1,7E-1
2405		6,0E-6		1,6E-1		1,7E-1
2410		5,7E-6		1,6E-1		1,7E-1
