Süre	1. Bölge	2. Bölge	3. Bölge	Isýnma	Soðutma 
(Sn)	(ºC)		(ºC)		(ºC)		(ºC)	(ºC)
       	Mavi		Kýrmýzý		Yeþil		Turuncu	Sarý
726	43		35		40		57	20
727	44		35		40		57	20
728	44		35		40		57	20
729	44		35		40		57	20
730	44		35		40		57	20
731	44		35		40		57	20
732	44		35		40		57	20
733	44		35		40		57	20
734	44		35		40		57	20
735	44		35		40		57	20
736	44		35		40		57	20
737	45		35		40		57	20
738	45		35		40		58	20
739	45		35		40		58	20
740	45		35		40		58	20
741	45		35		40		58	20
742	45		35		40		58	20
743	45		35		40		58	20
744	45		35		40		58	20
745	45		35		41		58	20
746	45		35		41		58	20
747	45		35		41		58	20
748	45		35		41		59	20
749	45		35		41		59	20
750	45		35		41		59	20
751	45		35		41		59	20
752	45		35		41		59	20
753	45		35		41		59	20
754	45		35		41		59	20
755	45		36		41		59	20
756	45		36		41		59	20
757	46		36		41		59	20
758	46		36		41		59	20
759	46		36		41		59	20
760	46		36		41		59	20
761	46		36		41		60	20
762	46		36		41		60	20
763	46		36		41		60	20
764	46		36		41		60	20
765	46		36		42		60	20
766	46		36		42		60	20
767	46		36		42		60	20
768	46		36		42		60	20
769	46		36		42		60	20
770	46		36		42		60	20
771	46		36		42		61	20
772	47		36		42		61	20
773	47		36		42		61	20
774	47		36		42		61	20
775	47		36		42		61	20
776	47		36		42		61	20
777	47		36		42		61	20
778	47		36		42		61	20
779	47		36		42		61	20
780	47		36		42		61	20
781	47		36		42		62	20
782	47		36		43		62	20
783	47		36		43		62	20
784	47		36		43		62	20
785	47		36		43		62	20
786	47		36		43		62	20
787	47		36		43		62	20
788	47		36		43		62	20
789	47		36		43		62	20
790	47		36		43		62	20
791	47		36		43		62	20
792	47		37		43		62	20
793	47		37		43		62	20
794	47		37		43		62	20
795	48		37		43		62	20
796	48		37		43		63	20
797	48		37		43		63	21
798	48		37		43		63	21
799	48		37		43		63	21
800	48		37		43		63	21
801	48		37		44		63	21
802	48		37		44		63	21
803	48		37		44		63	21
804	48		37		44		63	21
805	48		37		44		63	21
806	48		37		44		63	21
807	48		37		44		63	21
808	48		37		44		63	21
809	48		37		44		64	21
810	48		37		44		64	21
811	49		37		44		64	21
812	49		37		44		64	21
813	49		37		44		64	21
814	49		37		44		64	21
